19.08.2016 00:00:00,ЗАО "ХЕМ ОЙЛ",МЕТАНОЛ технический,244262873
19.08.2016 00:00:00,ЗАО "Местилла",МЕТАНОЛ технический,237994038
19.08.2016 00:00:00,ЗАО "Местилла",МЕТАНОЛ технический,232893630
19.08.2016 00:00:00,АБ "Линас Агро",КАРБАМИД,194986431
19.08.2016 00:00:00,АБ "Линас Агро",КАРБАМИД,196872415
19.08.2016 00:00:00,АБ "Линас Агро",КАРБАМИД,195777328
19.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,195838166
19.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,195229784
19.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,195168946
19.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,178499279
19.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,196446548
19.08.2016 08:05:12,ОАО "Белреахим",СУЛЬФАТ АММОНИЯ мелкой расфасовки по 3 кг пакет,12253000
19.08.2016 08:05:12,ОАО "Белреахим",КАРБАМИД мелкой расфасовки по 3 кг пакет,27870000
19.08.2016 08:05:12,ОАО "Белреахим",БЕЛВИТО в 0.5л бутылках,13749120
19.08.2016 08:11:28,ОАО "Пуховичинефтепродукт",ТОСОЛ-А40МН АНТИФРИЗ 5Л П/Э КАН АВТОЖИДКОСТЬ ОХЛАЖДАЮЩАЯ,9796032
19.08.2016 08:11:28,ОАО "Пуховичинефтепродукт",ТОСОЛ-А40МН АНТИФРИЗ 1Л П/Э БУТ АВТОЖИДКОСТЬ ОХЛАЖДАЮЩАЯ,1059210
19.08.2016 08:11:28,ОАО "Пуховичинефтепродукт",ТОСОЛ-А40МН (упаковка - в 10 л п/эт кан),20806650
19.08.2016 08:11:28,ОАО "Пуховичинефтепродукт",ТОСОЛ-А40МН (упаковка - в 20 л п/эт кан),41101350
19.08.2016 08:11:28,ОАО "Пуховичинефтепродукт",Средство AUS 32 в п/э канистрах по 20 л,4961184
19.08.2016 08:11:28,ОАО "Пуховичинефтепродукт",Вода деминерализованная 3 л (упаковка-в 3 л п/эт кан),1505200
19.08.2016 08:50:24,ИП Денисенко В.П.,Двуокись углерода жидкая,116820
19.08.2016 09:04:56,ОАО "Гроднопромстрой" завод ЖБК,Кислород технологич.газооб. (в баллонах),700512
19.08.2016 09:18:00,ОАО "Молочный мир",Аммиак жидкий технич.(в баллонах),508583
19.08.2016 09:23:36,ОАО "Спецмонтажстрой-178",Кислород технологич.газооб. (в баллонах),700512
19.08.2016 09:26:35,ОАО "СММ",Двуокись углерода жидкая,315414
19.08.2016 09:27:31,ОАО "Минскоблагросервис",ЭЛЕКТРОЛИТ (УПАКОВКА В 3 Л КАНИСТРЫ ПО 3000 МЛ ПО 3,82 КГ),556149
19.08.2016 09:27:31,ОАО "Минскоблагросервис",ТОСОЛ-А40МН (упаковка - в 10 л п/эт кан),20054550
19.08.2016 09:28:43,ДП "Производ.комбинат" ГОУП "Гроднооблсельстрой",Кислород технологич.газооб. (в баллонах),700512
19.08.2016 09:31:00,ЗАО "АТЛАНТ",КИСЛОТА АЗОТНАЯ неконцентрирован.,1760103
19.08.2016 09:42:02,ОАО "Аульсторгсервис",Кислород технологич.газооб. (в баллонах),3502560
19.08.2016 09:57:45,ОАО "Белкард",Кислород технологич.газооб. (в баллонах),1926408
19.08.2016 09:57:52,ОАО "Пружанский молочный комбинат",КИСЛОТА АЗОТНАЯ неконцентрирован.,530442
19.08.2016 09:59:58,ОАО "Белкард",Азот газообразный (в баллонах),84014
19.08.2016 10:04:54,СООО "АкваТрайпл",Двуокись углерода жидкая,7698438
19.08.2016 10:06:45,ООО "ПрофСтройИнжиниринг",Кислород технологич.газооб. (в баллонах),262692
19.08.2016 10:08:29,ОАО "Гроднохлебпром",Кислород технологич.газооб. (в баллонах),700512
19.08.2016 10:09:04,ОАО "Лунинецкий МЗ",КИСЛОТА АЗОТНАЯ неконцентрирован.,3640761
19.08.2016 10:14:07,ОАО "Союзпроммонтаж",Кислород технологич.газооб. (в баллонах),700512
19.08.2016 10:16:46,ДП "Производ.комбинат" ГОУП "Гроднооблсельстрой",Двуокись углерода жидкая,28037
19.08.2016 10:22:14,УЗ "Городская клиническая больница N2 г. Гродно",Двуокись углерода жидкая,42055
19.08.2016 10:30:29,ИООО "Кроноспан",КАС УДОБРЕНИЕ ЖИДКОЕ АЗОТНОЕ,41860056
19.08.2016 10:36:25,УЧПКП "Орхидея",Двуокись углерода жидкая,9707742
19.08.2016 10:41:37,ОАО "Белрыба",Аммиак жидкий технический,3615780
19.08.2016 10:54:14,СПК "Гожа",СУЛЬФАТ АММОНИЯ,22398857
19.08.2016 11:15:06,ОАО "Рогачевский МКК",КИСЛОТА АЗОТНАЯ неконцентрирован.,3254985
19.08.2016 11:15:28,СПК имени В.И.КРЕМКО,Кислород технологич.газооб. (в баллонах),1225896
19.08.2016 11:22:35,ОДО "АЗОТ",Двуокись углерода жидкая,1039698
19.08.2016 11:28:44,ОАО "Молочный мир",КИСЛОТА АЗОТНАЯ неконцентрирован.,892107
19.08.2016 11:54:31,УПТК ОАО "ДСТ N6",Кислород технологич.газооб. (в баллонах),525384
19.08.2016 12:24:25,ОАО "Слуцкий сыродельный комбинат",КИСЛОТА АЗОТНАЯ неконцентрирован.,3399651
19.08.2016 12:45:39,ОАО "Минский подшипниковый завод",Аммиак жидкий технич.(в баллонах),508583
19.08.2016 12:51:34,СПК "Заречный - Агро",СУЛЬФАТ АММОНИЯ,44921124
19.08.2016 12:57:03,УПТК ОАО "ДСТ N6",Двуокись углерода жидкая,42055
19.08.2016 13:03:59,СП "Санта-Бремор" ООО,Двуокись углерода жидкая,665874
19.08.2016 13:07:34,ООО "Евро-Пласт",Азот газообразный (в баллонах),84014
19.08.2016 13:17:44,ОАО "Белкард",Кислород технологич.газооб. (в баллонах),2013972
19.08.2016 13:32:36,ОАО "Гроднопромстрой" завод ЖБК,Двуокись углерода жидкая,140184
19.08.2016 13:36:58,ОАО "Барановичский молочный комбинат",КИСЛОТА АЗОТНАЯ неконцентрирован.,2893320
19.08.2016 13:40:37,Волковысское ОАО "Беллакт",КИСЛОТА АЗОТНАЯ неконцентрирован.,3086208
19.08.2016 13:43:32,ОАО "Ивацевичдрев",КАРБАМИД,58936292
19.08.2016 13:57:45,ОАО "Борисовский завод "Автогидроусилитель",Аммиак жидкий технич.(в баллонах),6357285
19.08.2016 14:08:13,ОАО "Мостовдрев",КАРБАМИД,20909258
19.08.2016 14:21:54,ЗАО "Холдинговая компания "Пинскдрев",КАРБАМИД,58936292
19.08.2016 14:41:50,ОАО "Нафтан", завод "Полимир",Двуокись углерода жидкая,408870
19.08.2016 15:01:50,РУП "Гродноавтодор" ДЭУ-51,Кислород технологич.газооб. (в баллонах),350256
19.08.2016 15:35:48,КФХ "Роса-Агро",СУЛЬФАТ АММОНИЯ,30704328
19.08.2016 15:39:59,ОАО "Молочный мир",Аммиак жидкий технич.(в баллонах),508583
19.08.2016 16:11:03,АО "ОРЛЕН Летува",ЭФИРЫ ЖИРНЫХ КИСЛОТ МЕТИЛОВЫЕ,239226081
19.08.2016 16:17:54,АО "ОРЛЕН Летува",ЭФИРЫ ЖИРНЫХ КИСЛОТ МЕТИЛОВЫЕ,239444154
19.08.2016 16:26:04,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,88761545
19.08.2016 16:26:21,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,65555244
19.08.2016 16:26:36,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,86716937
19.08.2016 16:26:48,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,81196495
19.08.2016 16:27:01,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,64686286
19.08.2016 16:27:13,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,63050599
19.08.2016 16:27:26,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,86154670
19.08.2016 16:27:39,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,79560809
19.08.2016 16:27:51,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,83215546
19.08.2016 16:28:04,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,74091482
19.08.2016 16:28:16,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,75752726
19.08.2016 16:28:28,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,77848450
19.08.2016 16:28:41,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,76902818
19.08.2016 16:28:53,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,78538505
19.08.2016 16:29:05,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,84621214
19.08.2016 16:29:17,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,64277364
19.08.2016 16:29:30,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,62411659
19.08.2016 16:29:43,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,88071490
19.08.2016 16:29:57,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,85387942
19.08.2016 16:30:10,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,84800117
19.08.2016 16:30:24,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,86333573
19.08.2016 16:30:36,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,63791770
19.08.2016 16:30:50,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,63996230
19.08.2016 16:31:06,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,82474375
19.08.2016 16:31:20,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,79151887
19.08.2016 16:31:38,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,61542701
19.08.2016 16:31:53,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,86435803
19.08.2016 16:32:06,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,76442782
19.08.2016 16:32:19,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,83496679
19.08.2016 16:32:31,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,86026882
19.08.2016 16:40:30,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,86768052
19.08.2016 16:40:55,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,85873536
19.08.2016 16:41:08,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,79075214
19.08.2016 16:41:21,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,76263878
19.08.2016 16:41:33,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,63127272
19.08.2016 16:41:46,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,81988781
19.08.2016 16:41:58,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,84416753
19.08.2016 16:42:10,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,76953934
19.08.2016 16:42:22,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,60443724
19.08.2016 16:42:34,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,86103554
19.08.2016 16:42:46,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,76953934
19.08.2016 16:42:57,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,83752255
19.08.2016 16:43:09,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,79381906
19.08.2016 16:43:22,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,85592402
19.08.2016 16:43:34,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,61670489
19.08.2016 16:43:47,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,60801530
19.08.2016 16:44:00,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,56712314
19.08.2016 16:44:14,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,87713683
19.08.2016 16:44:27,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,87815914
19.08.2016 16:44:44,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,65453014
19.08.2016 16:44:56,UAB KJKK "BEGA",СУЛЬФАТ АММОНИЯ,64558498
19.08.2016 16:53:14,ОАО "Ивацевичдрев",КАРБАМИД,58750262
19.08.2016 17:24:00,ИП Денисенко В.П.,Двуокись углерода жидкая,116820
19.08.2016 17:26:34,АО "ОРЛЕН Летува",ЭФИРЫ ЖИРНЫХ КИСЛОТ МЕТИЛОВЫЕ,222652533
19.08.2016 17:33:28,ООО "ТСК "Евразия",Глицерин технический,53226480
19.08.2016 21:33:35,ОАО "СветлогорскХимволокно",ОЛЕУМ,49496560
19.08.2016 21:35:02,СПК "Красный партизан",СУЛЬФАТ АММОНИЯ,95335973
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,194401920
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,195130927
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,192822404
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,196588942
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,197439450
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,198532961
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,195981436
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,196953445
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,196285189
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,196771193
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,197014196
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,196224438
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,196406690
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,171863447
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,198715213
20.08.2016 00:00:00,ОАО "Гродно Азот" цех полиамид,БУТЫЛКИ ПОЛИМЕРНЫЕ (БТ-I -1-ПЭНД БХ-0,5),149670
20.08.2016 00:00:00,ЗАО "Бест Ферт",КАРБАМИД,197803954
20.08.2016 00:00:00,АБ "Линас Агро",КАРБАМИД,193976666
20.08.2016 00:00:00,АО "ОРЛЕН Летува",МЕТАНОЛ технический,236864925
20.08.2016 00:00:00,АО "ОРЛЕН Летува",МЕТАНОЛ технический,242433730
20.08.2016 00:00:00,ЗАО "Местилла",МЕТАНОЛ технический,233906454
20.08.2016 05:08:40,РУП "Белоруснефть-Гомельоблнефтепродукт",ЭФИРЫ ЖИРНЫХ КИСЛОТ МЕТИЛОВЫЕ,788575502
20.08.2016 05:14:20,РУП "Белоруснефть-Гомельоблнефтепродукт",ЭФИРЫ ЖИРНЫХ КИСЛОТ МЕТИЛОВЫЕ,888238382
20.08.2016 08:23:56,ОАО "Минский тракторный завод",ТОСОЛ-А40МН АВТОЖИДКОСТЬ ОХЛАЖД. ВЕСОВОЙ,168363851
20.08.2016 09:09:16,ОАО "Аульсторгсервис",Кислород технологич.газооб. (в баллонах),3502560
20.08.2016 09:14:49,ОАО "Глубокский молочноконсервный комбинат",КИСЛОТА АЗОТНАЯ неконцентрирован.,2001213
20.08.2016 09:22:09,ИП Денисенко В.П.,Двуокись углерода жидкая,116820
20.08.2016 09:32:24,ОАО "Полесьеагрокомплект",Двуокись углерода жидкая,5432130
20.08.2016 09:39:50,КУП "Медицинский центр красоты и здоровья",Азот жидкий,43246
20.08.2016 09:47:38,ИООО "Кроноспан",КАС УДОБРЕНИЕ ЖИДКОЕ АЗОТНОЕ,42606077
20.08.2016 09:51:30,ОАО "Минский тракторный завод",Двуокись углерода жидкая,7044246
20.08.2016 09:58:13,ОАО "Полоцкий молочный комбинат",КИСЛОТА АЗОТНАЯ неконцентрирован.,3881871
20.08.2016 09:59:08,ОАО "Скидельский сахарный комбинат",Кислород технологич.газооб. (в баллонах),2101536
20.08.2016 10:25:13,Государственное предприятие "БЧС",КАРБАМИД,2825895
20.08.2016 10:26:39,Филиал N5 "Гродненский КСМ",Кислород технологич.газооб. (в баллонах),700512
20.08.2016 10:41:55,ИП Ольшанников К.В.,Кислород технологич.газооб. (в баллонах),612948
20.08.2016 10:46:01,ЧУПП "Промгаз",Двуокись углерода жидкая,5537268
20.08.2016 10:48:45,ОАО "ЛМЗ Универсал",Двуокись углерода жидкая,8714772
20.08.2016 10:54:10,СООО "АлюминТехно",Аммиак жидкий технич.(в баллонах),2797205
20.08.2016 10:57:36,ГГУПП "Спецавтохозяйство",Кислород технологич.газооб. (в баллонах),350256
20.08.2016 10:58:35,Государственное предприятие "БЧС",Гидроксиламинсульфат кристаллический,15045294
20.08.2016 11:12:11,ОАО "Гродножилстрой",Кислород технологич.газооб. (в баллонах),700512
20.08.2016 11:44:17,ООО ДЖАВДАКОНСАЛТ,Средство AUS 32 (упаковка-весовое). Аналог AdBlue.,5638670
20.08.2016 12:01:53,ОАО "Щучинский маслосырзавод",КИСЛОТА СЕРНАЯ,170616
20.08.2016 12:30:38,РУСП "Гродненское племпредприятие",Азот жидкий,9350537
20.08.2016 13:02:54,ОАО "БЭЗ",Двуокись углерода жидкая,654192
20.08.2016 13:05:38,ОАО "Мостовдрев",Кислород технологич.газооб. (в баллонах),1401024
20.08.2016 13:08:23,ПСУ "Спецстроймонтаж" ОАО "Гроднопромстрой",Двуокись углерода жидкая,84110
20.08.2016 13:22:57,ТУП "АзотСпецТранс",Кислород технологич.газооб. (в баллонах),525384
20.08.2016 13:25:35,ПСУ "Спецстроймонтаж" ОАО "Гроднопромстрой",Кислород технологич.газооб. (в баллонах),437820
20.08.2016 13:25:45,Филиал ГМУ ОАО "Промтехмонтаж",Двуокись углерода жидкая,186912
20.08.2016 13:32:33,ОАО "Молочный мир",КИСЛОТА АЗОТНАЯ неконцентрирован.,602775
20.08.2016 13:35:35,УЗ "Гродн. обл.детская клиническая больница",Двуокись углерода жидкая,14018
20.08.2016 13:41:14,ООО "Запад",Кислород технологич.газооб. (в баллонах),175128
20.08.2016 13:43:15,ОАО "Гродножилстрой",Двуокись углерода жидкая,175230
20.08.2016 13:46:46,ОДО "КвалиТек",Двуокись углерода жидкая,9275508
20.08.2016 13:52:41,Волковысское ОАО "Беллакт",КИСЛОТА АЗОТНАЯ неконцентрирован.,3110319
20.08.2016 13:55:26,ОАО "Ивацевичи-агрохимсервис",КАРБАМИД,18713177
20.08.2016 13:59:46,РУАП "Гродненская овощная фабрика",КИСЛОТА АЗОТНАЯ неконцентрирован.,405065
20.08.2016 14:02:04,УЖРЭП Октябрьского района,Кислород технологич.газооб. (в баллонах),525384
20.08.2016 14:02:31,УО СПК "Путришки",СУЛЬФАТ АММОНИЯ,15518767
20.08.2016 14:05:08,OY"BioOil",Кислое масло,124605306
20.08.2016 14:09:39,ОАО "ГМЗ",Кислород технологич.газооб. (в баллонах),1225896
20.08.2016 14:11:01,ОАО "Лесохимик",КАРБАМИД,60318235
20.08.2016 14:18:57,Филиал РУП " Гродноэнерго" санаторий "Энергетик ",Азот жидкий,518957
20.08.2016 14:23:05,ОАО "Лидагропроммаш",Двуокись углерода жидкая,432234
20.08.2016 14:39:30,ОАО "Ивацевичдрев",КАРБАМИД,53860312
20.08.2016 14:50:14,ОАО "Пинский автобусный парк",Средство AUS 32 в п/э канистрах по 20 л,1494330
20.08.2016 14:51:33,РУАП "Гродненская овощная фабрика",Двуокись углерода жидкая,28037
20.08.2016 14:52:38,ОАО "Союзпроммонтаж",Кислород технологич.газооб. (в баллонах),1401024
20.08.2016 14:56:17,ОАО"БЕЛАЗ"-управляющая ком.холдинга"БЕЛАЗ-ХОЛДИНГ",Двуокись углерода жидкая,7780212
20.08.2016 14:59:51,ООО "Атлас-Маркет",КАС УДОБРЕНИЕ ЖИДКОЕ АЗОТНОЕ,151410468
20.08.2016 15:01:15,ООО "Атлас-Маркет",КАС УДОБРЕНИЕ ЖИДКОЕ АЗОТНОЕ,155026377
20.08.2016 15:02:41,ООО "Атлас-Маркет",КАС УДОБРЕНИЕ ЖИДКОЕ АЗОТНОЕ,153149766
20.08.2016 15:04:38,ООО "Атлас-Маркет",КАС УДОБРЕНИЕ ЖИДКОЕ АЗОТНОЕ,153012453
20.08.2016 15:05:34,ООО "Атлас-Маркет",КАС УДОБРЕНИЕ ЖИДКОЕ АЗОТНОЕ,152646285
20.08.2016 15:12:43,ИООО "Кроноспан",КАС УДОБРЕНИЕ ЖИДКОЕ АЗОТНОЕ,42315958
20.08.2016 15:17:53,СПК "Коптевка",Кислород технологич.газооб. (в баллонах),875640
20.08.2016 15:32:58,СПК "Заречный - Агро",СУЛЬФАТ АММОНИЯ,49394724
20.08.2016 15:55:37,ОАО "Ивацевичдрев",КАРБАМИД,60731636
20.08.2016 16:22:20,ОАО "Мостовдрев",КАРБАМИД,20968316
20.08.2016 17:07:46,ОАО "Могилевхимволокно",МЕТАНОЛ технический,255677600
20.08.2016 17:35:41,ОАО "Витебскдрев",КАРБАМИД ГРАНУЛИРОВАННЫЙ,59852799
20.08.2016 17:44:44,ОАО "Ивацевичдрев",КАРБАМИД,58986491
20.08.2016 17:56:11,ОАО "Ивацевичдрев",КАРБАМИД,58927434
20.08.2016 18:03:19,BENGU KIMYA TEKSTIL SAN.VE TIC.LTD.STI,Гидроксиламинсульфат кристаллический,413326000
20.08.2016 18:22:33,ЗАО "Холдинговая компания "Пинскдрев",КАРБАМИД,60259177
20.08.2016 19:10:41,ОАО "Ивацевичдрев",КАРБАМИД,58927434
20.08.2016 21:26:15,ОАО "Беларуськалий",СУЛЬФАТ АММОНИЯ,96602702
20.08.2016 21:27:55,ОАО "Беларуськалий",СУЛЬФАТ АММОНИЯ,108972949
20.08.2016 21:28:22,ОАО "Беларуськалий",СУЛЬФАТ АММОНИЯ,99121387
20.08.2016 21:28:48,Филиал "Вировлянский" ИП "Детскосельский-Городок",КАРБАМИД ГРАНУЛИРОВАННЫЙ,200769780
21.08.2016 00:00:00,АО "ОРЛЕН Летува",ЭФИРЫ ЖИРНЫХ КИСЛОТ МЕТИЛОВЫЕ,237803504
21.08.2016 00:00:00,АО "ОРЛЕН Летува",МЕТАНОЛ технический,237455240
21.08.2016 00:00:00,АО "ОРЛЕН Летува",МЕТАНОЛ технический,242091850
21.08.2016 07:40:03,ЗАО "Торговый дом 1000 мелочей",АММОФОСКАМИД  МАРКА NPK 5-16-35 по 3 кг пакет,5721900
21.08.2016 07:40:03,ЗАО "Торговый дом 1000 мелочей",КАРБАМИД мелкой расфасовки по 3 кг пакет,1445800
